Product,Price,Brand,Core,RAM,ScrSize,GraphicCard,Drive_Type,Capacity,OperSystem,Weight,Madein,Since,Shop,URL
Laptop Acer Nitro Gaming AN515 57 74NU i7 11800H/8GB/512GB SSD/RTX 3050Ti 4GB/Win10 (No.00762456),29999000,Acer,Intel Core i7-11800H 4.60 GHz,8,15.6,NVIDIA GeForce RTX 3050Ti 4 GB & Intel UHD Graphics,SDD,512,Window,2.2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-74nu-i7-11800h
"Laptop MSI Modern 14 B11MOU 852VN i5 1155G7/8GB/512GB/14""FHD/Win 10 (No.00775505)",18799000,MSI,Intel Core i5-1155G7 4.50 GHz,8,14,Intel Iris Xe Graphics,SDD,512,Window,1.3,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-852vn-i5-1155g7
Laptop Dell Inspiron N3511 i3 1115G4/4GB/256GB/15.6FHD/Win 10+Office Home&Student (No.00775351),15299000,Dell,Intel Core i3-1115G4 4.10 GHz,4,15.6,Intel UHD Graphics,SDD,256,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i3-1115g4
"Laptop Dell Vostro V3500 i3 1115G4/8GB/256GB/15.6""FHD/Win 10 (No.00741403)",15599000,Dell,Intel Core i3-1115G4 4.10 GHz,8,15.6,Intel UHD Graphics,SDD,256,Window,2,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3500-i3-1115g4
"Laptop Dell Inspiron N3511 i5 1135G7/4GB/512GB/15.6""FHD/Win 10+Office Home&Student (No.00775352)",19999000,Dell,Intel Core i5-1135G7 4.20 GHz,4,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.7,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i5-1135g7
"Laptop MSI Gaming GF63 Thin 10SC-481VN i7 10750H/8GB/512GB/15.6""FHD/GTX 1650 Max-Q 4GB/Win 10 (No.00770717)",22999000,MSI,Intel Core i7-10750H 5.00 GHz,8,15.6,NVIDIA GeForce GTX 1650 Max-Q 4 GB,SDD,512,Window,1.9,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-10sc-481vn-i7-10750h
"Laptop Dell Inspiron N5515 R5 5500U/8GB/256GB/15.6""FHD/Win 10+Office Home&Student (No.00776693)",18999000,Dell,AMD Ryzen 5-5500U 4 GHz,8,15.6,AMD Radeon RX Graphics Vega 7,SDD,256,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5515-r5-5500u
"Laptop Lenovo ThinkBook 14 G3 ACL R7 5700U/8GB/512GB/14""FHD/Win 10 (No.00774628)",21499000,Lenovo,AMD Ryzen 7-5700U 4.3GHz,8,14,AMD Radeon Graphics,SDD,512,Window,1.4,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g3-acl-r7-5700u
"Laptop Dell Vostro V3400 i5 1135G7/8GB/256GB/14.0""FHD/Win 10+Office Home&Student (No.00775350)",18899000,Dell,Intel Core i5-1135G7 4.20 GHz,8,14,Intel UHD Graphics,SDD,256,Window,1.9,Trung Quốc,2020,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i5-1135g7-win-10
"Laptop Asus Vivobook A515EA-L11970T i5 1135G7/8GB/512GB SSD/15.6"" OLED/Win10 (No.00776406)",19999000,Asus,Intel Core i5-1135G7 4.20 GHz,8,15.6,Intel Iris Xe Graphics,SDD,512,Window,1.8,Trung Quốc,2021,FPTShop,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ea-l11970t-i5-1135g7
