id,brand,cpu,cpu_GHz,cpu_brand,ram,scrsize,gpu,gpu_brand,memory,drive_type,opersystem,weight,since,shop,price,url
0,ACER,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-74nu-i7-11800h
1,MSI,Intel i5,4.5,Intel,8,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2021,FPTShop,18799000,https://fptshop.com.vn/may-tinh-xach-tay/msi-modern-14-b11mou-852vn-i5-1155g7
2,DELL,Intel i3,4.1,Intel,4,15.6,Intel UHD,Intel,256,SDD,Window,1.7,2021,FPTShop,15299000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i3-1115g4
3,DELL,Intel i3,4.1,Intel,8,15.6,Intel UHD,Intel,256,SDD,Window,2.0,2021,FPTShop,15599000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3500-i3-1115g4
4,DELL,Intel i5,4.2,Intel,4,15.6,Intel Iris,Intel,512,SDD,Window,1.7,2021,FPTShop,19999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3511-i5-1135g7
5,MSI,Intel i7,5.0,Intel,8,15.6,NVIDIA GeForce GTX,NVIDIA,512,SDD,Window,1.9,2021,FPTShop,22999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf63-thin-10sc-481vn-i7-10750h
6,DELL,AMD Ryzen 5,4.0,AMD,8,15.6,AMD Radeon,AMD,256,SDD,Window,1.8,2021,FPTShop,18999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5515-r5-5500u
7,LENOVO,AMD Ryzen 7,4.3,AMD,8,14.0,AMD Radeon,AMD,512,SDD,Window,1.4,2021,FPTShop,21499000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-thinkbook-14-g3-acl-r7-5700u
8,DELL,Intel i5,4.2,Intel,8,14.0,Intel UHD,Intel,256,SDD,Window,1.9,2020,FPTShop,18899000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i5-1135g7-win-10
9,ASUS,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.8,2021,FPTShop,19999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-vivobook-a515ea-l11970t-i5-1135g7
10,ACER,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,27499000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-57mx-i5-11400h
11,MSI,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.1,2021,FPTShop,30999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf66-11ud-697vn-i7-11800h
12,DELL,Intel Celeron,2.8,Intel,4,15.6,Intel UHD,Intel,128,SDD,Window,1.8,2020,FPTShop,10999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3502-celeron-n4020-win-10-nk
13,DELL,AMD Ryzen 5,3.5,AMD,8,15.6,AMD Radeon,AMD,256,SDD,Window,2.0,2020,FPTShop,17999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3505-r5-3450u-win-10-nk
14,DELL,Intel Celeron,2.8,Intel,4,15.6,Intel UHD,Intel,128,SDD,Window,1.7,2021,FPTShop,10999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3510-celeron-n4020-win-10-nk
15,DELL,Intel Pentium,3.1,Intel,4,15.6,Intel UHD,Intel,128,SDD,Window,1.7,2021,FPTShop,11699000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3510-pentium-n5030-win-10-nk
16,MSI,Intel i5,4.5,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.9,2021,FPTShop,29699000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf65-10ue-286vn-i5-10500h
17,ACER,Intel i5,4.5,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.2,2021,FPTShop,26499000,https://fptshop.com.vn/may-tinh-xach-tay/acer-nitro-gaming-an515-57-54mv-i5-11400h
18,HP,Intel i7,4.7,Intel,8,13.3,Intel Iris,Intel,512,SDD,Window,1.2,2021,FPTShop,29899000,https://fptshop.com.vn/may-tinh-xach-tay/hp-envy-13-ba1535tu-i7-1165g7
19,MSI,Intel i7,4.6,Intel,8,17.3,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.6,2021,FPTShop,30299000,https://fptshop.com.vn/may-tinh-xach-tay/msi-katana-gf76-11uc-096vn-i7-11800h
20,LENOVO,Intel i5,4.2,Intel,8,15.6,Intel Iris,Intel,512,SDD,Window,1.7,2021,FPTShop,17999000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-ideapad-slim-3-15itl6-i5-1135g7
21,LENOVO,Intel i5,4.2,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.4,2021,FPTShop,25199000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-yoga-slim-7-14itl05-i5-1135g7
22,ACER,AMD Ryzen 5,4.0,AMD,8,15.6,NVIDIA GeForce GTX,NVIDIA,256,SDD,Window,2.1,2021,FPTShop,19999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-aspire-gaming-a715-42g-r4st-r5-5500u
23,DELL,Intel i3,4.1,Intel,4,15.6,Intel UHD,Intel,256,SDD,Window,2.0,2021,FPTShop,14999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501c-i3-1115g4
24,HP,Intel i3,3.7,Intel,4,15.6,Intel UHD,Intel,512,SDD,Window,1.7,2021,FPTShop,15999000,https://fptshop.com.vn/may-tinh-xach-tay/hp-pavilion-15-eg0509tu-i3-1125g4
25,DELL,AMD Ryzen 5,3.7,AMD,4,14.0,AMD Radeon,AMD,256,SDD,Window,1.7,2020,FPTShop,16499000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3405-r5-3500u-256gb
26,DELL,Intel i3,4.1,Intel,8,14.0,Intel UHD,Intel,256,SDD,Window,1.6,2020,FPTShop,15899000,https://fptshop.com.vn/may-tinh-xach-tay/dell-vostro-v3400-i3-1115g4-win10
27,DELL,Intel i5,4.2,Intel,4,15.6,Intel Iris,Intel,512,SDD,Window,2.0,2021,FPTShop,18999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n3501b-i5-1135g7
28,ACER,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,39999000,https://fptshop.com.vn/may-tinh-xach-tay/acer-predator-helios-gaming-ph315-54-75yd-i7-11800h
29,DELL,Intel i5,4.4,Intel,8,15.6,Intel Iris,Intel,256,SDD,Window,1.7,2021,FPTShop,22999000,https://fptshop.com.vn/may-tinh-xach-tay/dell-inspiron-n5510-i5-11300h
30,LENOVO,Intel i7,4.8,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,28999000,https://fptshop.com.vn/may-tinh-xach-tay/lenovo-gaming-3-15ihu6-i7-11370h-rtx3050-4gb
31,MSI,Intel i7,4.8,Intel,16,14.0,Intel Iris,Intel,512,SDD,Window,1.3,2020,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-prestige-14evo-a11m-089vn-i7-1185g7
32,MSI,Intel i7,4.6,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.1,2021,FPTShop,29999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-gf66-11uc-641vn-i7-11800h-rtx3050
33,MSI,AMD Ryzen 7,4.4,AMD,16,15.6,AMD Radeon,AMD,512,SDD,Window,2.4,2021,FPTShop,36999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-alpha-15-b5eek-036vn-r7-5800h
34,MSI,Intel i7,4.6,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.3,2021,FPTShop,33999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-pulse-gl66-11udk-255vn-i7-11800h
35,MSI,Intel i7,4.8,Intel,16,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,1.7,2021,FPTShop,41999000,https://fptshop.com.vn/may-tinh-xach-tay/msi-gaming-stealth-15m-a11uek-232vn-i7-11375h
36,ASUS,Intel i7,4.8,Intel,8,15.6,NVIDIA GeForce RTX,NVIDIA,512,SDD,Window,2.0,2021,FPTShop,32999000,https://fptshop.com.vn/may-tinh-xach-tay/asus-tuf-gaming-fx516pm-hn002t-i7-11370h
